Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),₹248,4.0,"19,757",Not available,Not available,Not available,Not available
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),₹599,3.8,223,Not available,Not available,Not available,Not available
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹570,4.3,"3,463",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_14_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),₹387,4.3,"7,480",Not available,Not available,Not available,Not available
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹749,4.1,"1,457",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/luggage/2917436031/ref=sr_bs_0_2917436031_1,Skybags Brat Black 46 Cms Casual Backpack,₹599,4.1,"5,000",Not available,Not available,Not available,Not available
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,199",4.0,"55,188",Not available,Not available,Not available,Not available
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹550,4.3,"11,550",Not available,Not available,Not available,Not available
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649,3.9,"16,375","Care Instructions: Hand Wash Only    SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.    SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",Not available,Not available,Not available
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"₹1,085",4.4,"5,779",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_5_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,299",4.3,416,Not available,Not available,Not available,Not available
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0,"4,640",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_7_1984997031_1,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3,"5,379",Not available,Not available,Not available,Not available
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,"3,074",Not available,Not available,Not available,Not available
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9,959,Not available,Not available,Not available,Not available
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.3,422,Not available,Not available,Not available,Not available
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),₹248,4.0,"19,757",Not available,Not available,Not available,Not available
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),₹599,3.8,223,Not available,Not available,Not available,Not available
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹570,4.3,"3,463","Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort    Smooth zippers that never jam or break    Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use    Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials    The padded shoulder straps, handle, and back panel provides protection and all-day comfort.    
› See more product details",Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_14_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),₹387,4.3,"7,480",Not available,Not available,Not available,Not available
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹749,4.1,"1,457",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/luggage/2917436031/ref=sr_bs_0_2917436031_1,Skybags Brat Black 46 Cms Casual Backpack,₹599,4.1,"5,000",Not available,Not available,Not available,Not available
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,199",4.0,"55,188",Not available,Not available,Not available,Not available
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹550,4.3,"11,550","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.    
› See more product details",Not available,Not available,Not available
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649,3.9,"16,375",Not available,Not available,Not available,Not available
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"₹1,085",4.4,"5,779","Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,    Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks",Not available,,Not available
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_5_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,299",4.3,416,Not available,Not available,Not available,Not available
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0,"4,640",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_7_1984997031_1,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3,"5,379",Not available,Not available,Not available,Not available
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,"3,074",Not available,Not available,Not available,Not available
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9,959,Not available,Not available,Not available,Not available
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.3,422,Not available,Not available,Not available,Not available
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),₹248,4.0,"19,757",Not available,Not available,Not available,Not available
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),₹599,3.8,223,Not available,Not available,Not available,Not available
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹570,4.3,"3,463",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_14_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),₹387,4.3,"7,480",Not available,Not available,Not available,Not available
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹749,4.1,"1,457","Care Instructions: Hand Wash Only    Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories    CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem    FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult    COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.    12 Months Limited Brand Warranty",Not available,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,Not available
https://www.amazon.in/gp/bestsellers/luggage/2917436031/ref=sr_bs_0_2917436031_1,Skybags Brat Black 46 Cms Casual Backpack,₹599,4.1,"5,000",Not available,Not available,Not available,Not available
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,199",4.0,"55,188",Not available,Not available,Not available,Not available
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹550,4.3,"11,550",Not available,Not available,Not available,Not available
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649,3.9,"16,375",Not available,Not available,Not available,Not available
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"₹1,085",4.4,"5,779",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_5_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,299",4.3,416,Not available,Not available,Not available,Not available
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0,"4,640",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_7_1984997031_1,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3,"5,379",Not available,Not available,Not available,Not available
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,"3,074",Not available,Not available,Not available,Not available
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9,959,Not available,Not available,Not available,Not available
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.3,422,Not available,Not available,Not available,Not available
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),₹248,4.0,"19,757",Not available,Not available,Not available,Not available
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),₹599,3.8,223,Not available,Not available,Not available,Not available
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹570,4.3,"3,463",Not available,Not available,Not available,Not available
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_14_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),₹387,4.3,"7,480",Not available,Not available,Not available,Not available
